feature1,feature2,feature3,feature4
0.2422040623834817,0.7954436711573116,0.4239406562841187,0.49919196722992476
0.5437747691528558,0.7017385665116108,0.5820913191802352,0.4452290686475081
0.6597056532620138,0.8450102007488963,0.2500405304226524,0.8472243521036803
0.7639383931564686,0.8725418065768928,0.7596698757957137,0.6256025541478832
0.46700367997000525,0.5661772916408008,0.045096648016993424,0.40395719341916403
0.36135202764648044,0.9071955758868995,0.9849096863502828,0.764835094076227
0.8501321129719928,0.4537476993213051,0.5038118709588083,0.688706232993262
0.44613874778351226,0.4286181037102137,0.40103885061761224,0.8423075380353069
0.8335463539553247,0.6067079147404527,0.6855434497823608,0.4884375439059887
0.7523209711802263,0.9987726118547522,0.13811372029886437,0.9058186458876865
0.36175428128541764,0.7007794128967376,0.8994688200101459,0.1979872813293585
0.9461057537336853,0.539400464542659,0.6485678531609734,0.02851719554475718
0.8558711211039197,0.8322311482097473,0.851106246741019,0.4885518246187559
0.9593453547610193,0.6052416679244377,0.21590420223309392,0.7951478166459571
0.4485242492512521,0.08536059333876811,0.8590365716873615,0.7186061800455837
0.5762819378580137,0.26239172109732223,0.36268718758703644,0.3056102250953916
0.872463608017683,0.14745430081113087,0.13534092370552486,0.12825902453637417
0.6269609676655029,0.05986026227625807,0.6034083341813072,0.6964547133583066
0.4320509252014543,0.6003591031094564,0.7930203112432183,0.16696909815630734
0.6276941002601026,0.38864220338015143,0.0655230283028897,0.6777343961203609
