feature1,feature2,feature3,feature4,target
0.5688938423091675,0.7521506702056517,0.7804480988663137,0.41773766028513115,0
0.4474807259296266,0.8390460738456486,0.3401159513987676,0.7989819746836746,1
0.9949483897166169,0.4696309416209481,0.516695593421054,0.8745343945957887,0
0.6401469495455835,0.870361739414771,0.24657277931572996,0.49798404843379807,0
0.5353909125707598,0.6944958883326616,0.859633732578675,0.5901835965472242,1
0.461784041456871,0.961227063247536,0.725109267289668,0.009944023385134115,1
0.008872118692680453,0.174265688785048,0.9386128594273965,0.8785449260471733,1
0.848608458699761,0.14520635804018123,0.10577233806578967,0.8020289506093553,1
0.9418586350563909,0.987074521404267,0.5873537908728993,0.4751606175314209,0
0.6688387997221198,0.2338011705397095,0.56801933859332,0.7236711506222737,1
0.8118948678343679,0.3556772253484525,0.5845578415865312,0.47059708525094235,0
0.9692748306921747,0.0967343598208451,0.5869003576072374,0.7812900601453298,1
0.027241742123163104,0.4269310851952215,0.5630469644940665,0.7979346037686041,1
0.9644722398963029,0.4821143906054932,0.5473771863757495,0.39198847304551676,1
0.9723448017575136,0.5124010376757064,0.4553067980945743,0.051610589951082364,0
0.7026265895760283,0.28182157502171035,0.4322239605727314,0.27312724026485946,1
0.24053258568756897,0.6141046356979735,0.814723011998976,0.6442405490963415,1
0.011342849560797008,0.1325946815543937,0.4237726236240561,0.8535070906674199,0
0.3237501641803333,0.7767209430306622,0.5350554250217645,0.20681324457287031,1
0.22586097734849742,0.6867631029536996,0.790753793478488,0.24695507469738598,1
0.1843858682152385,0.9390495683617539,0.48970677473711866,0.0015324544336583479,1
0.9163700224186684,0.5783220151758457,0.8807770154035613,0.7475952344756212,1
0.9211705284541523,0.33207155507740704,0.42550126159317414,0.48768265626081786,1
0.1863937777109106,0.6338305438865741,0.5519720385579285,0.5135844893159728,1
0.20828731574365156,0.09424311992327128,0.6240520424075273,0.2902360598775584,0
0.15136240449954563,0.836143124167599,0.06306377243720362,0.5722813340856779,0
0.7943751572243396,0.4712762664275705,0.08232807063629832,0.33029985691130304,1
0.678623841206593,0.7197542060696352,0.5064989445801701,0.11947534965610995,0
