annual_income,credit_score,loan_amount,years_at_job,debt_ratio,gender,target
56106.12972954593,650,157325.22599693292,5.793445054854121,0.12932658084830617,Male,0
52159.154692214404,753,259554.53415730956,4.2620139849328975,0.248369370043626,Female,1
60964.200286431944,657,128699.0941439774,3.5253667585792865,0.24755384894960228,Female,1
49833.82544212723,763,129554.04486547377,11.446118881811154,0.11605910801149616,Female,1
79760.91098451489,701,214568.9492407973,7.765809134022851,0.2560452853735733,Female,0
64403.368982499436,740,167992.27715826943,1.3745533871927718,0.3893159793371266,Female,1
49092.94236262697,608,243607.65528420274,6.19998965883082,0.2565744080891422,Male,0
56648.01026442222,640,277136.8183639888,0.2890225572409504,0.3136009222989997,Female,0
78703.37573302079,694,145929.33096303564,10.04229714016457,0.44767314559220417,Male,0
32001.900729590758,730,187671.4472870213,4.216973827483059,0.285889502500015,Female,1
59528.41244437835,685,142069.83681702573,8.968778481006595,0.3031109144278259,Male,0
58315.07925463755,708,139612.03037283238,6.610422407674712,0.21947359352565374,Male,0
82789.25885462653,704,228073.63149130665,4.098392044463695,0.3105654441579513,Male,1
60779.18828710949,711,259563.03408159164,2.057705469012387,0.47498687512549775,Male,0
69137.07181360766,673,211807.12049395507,3.8287724407351,0.24030128589974198,Female,1
59037.17734337253,704,193805.38183823996,3.164920634894605,0.4119370324077267,Male,0
63008.53795846414,710,259461.32306278928,1.7340954708228837,0.23283009687253442,Female,0
50056.48623673578,557,274479.97047238244,0.47734116609973753,0.37703095175876233,Male,0
74310.02645239803,783,176172.42883903792,8.63953756517477,0.27524893883234525,Male,1
63629.43407349051,635,209980.52092013913,0.0,0.4196908425166108,Male,0
39475.27441750784,734,167048.80866701648,2.1020872261653905,0.3201345991047766,Male,1
56265.5377728139,721,265129.5198393116,5.876506484621978,0.19792469251365424,Female,1
64249.31807319213,627,188305.1099773203,8.634282510897291,0.270027269446403,Male,0
49613.68530189216,541,152999.2033938123,5.224662753114673,0.48753696283935666,Female,0
65968.90574920214,711,169196.4392331838,6.8254749460342365,0.33143016455328955,Male,0
43497.68650542457,727,175354.08625253738,2.607543507968634,0.20067176154412414,Female,1
61099.76950782606,718,134391.8399402241,9.490640821552569,0.31396191367591797,Male,0
62880.73674735047,696,195870.3712324355,5.412023973695313,0.44902660734318534,Female,0
60363.29185009137,740,96581.21422844839,5.820843743497115,0.13654857622456593,Male,1
47535.748253834434,673,271231.38660386216,7.487447105178626,0.41168204589555335,Female,0
45318.54426326539,750,169608.80536921878,4.8873094719014265,0.15106665399292216,Female,1
67497.96185610557,742,141606.7346354145,8.422357401357424,0.27125393788443775,Male,1
85499.3606186457,660,144383.62651647098,7.9317901109093665,0.11792652426832291,Female,1
50561.04909460817,690,243877.37767257105,4.320013388828001,0.2309029494798657,Female,1
